iter	Passed	Remaining
0	75	75459
1	76	38003
2	76	25509
3	77	19235
4	77	15483
5	78	12979
6	78	11186
7	79	9833
8	79	8784
9	80	7950
10	80	7272
11	81	6701
12	81	6218
13	82	5803
14	82	5444
15	83	5130
16	83	4855
17	84	4611
18	85	4388
19	85	4188
20	86	4009
21	86	3844
22	86	3692
23	87	3553
24	87	3428
25	88	3310
26	88	3201
27	89	3100
28	89	3008
29	90	2921
30	90	2839
31	91	2762
32	91	2690
33	92	2624
34	92	2559
35	93	2498
36	93	2442
37	94	2387
38	94	2335
39	95	2286
40	95	2240
41	96	2195
42	96	2153
43	97	2112
44	97	2073
45	98	2036
46	98	2000
47	99	1965
48	99	1932
49	100	1901
50	100	1871
51	101	1842
52	101	1814
53	102	1788
54	102	1765
55	103	1741
56	103	1717
57	104	1695
58	104	1673
59	105	1651
60	106	1633
61	106	1612
62	107	1591
63	107	1572
64	108	1554
65	108	1535
66	109	1518
67	109	1501
68	110	1484
69	110	1467
70	110	1451
71	111	1436
72	111	1420
73	112	1406
74	112	1392
75	113	1378
76	113	1365
77	114	1352
78	114	1340
79	115	1328
80	116	1316
81	116	1305
82	116	1290
83	117	1280
84	118	1270
85	118	1260
86	119	1250
87	119	1240
88	120	1232
89	121	1225
90	121	1217
91	122	1210
92	123	1201
93	123	1193
94	124	1186
95	125	1180
96	126	1173
97	126	1168
98	127	1161
99	128	1154
100	129	1148
101	129	1142
102	130	1135
103	130	1128
104	131	1121
105	132	1115
106	132	1109
107	133	1103
108	134	1097
109	134	1091
110	135	1086
111	136	1081
112	136	1075
113	137	1069
114	138	1064
115	138	1058
116	139	1051
117	140	1047
118	140	1041
119	141	1036
120	141	1031
121	142	1025
122	143	1019
123	143	1015
124	144	1010
125	144	1005
126	145	999
127	146	995
128	146	991
129	147	987
130	148	982
131	148	976
132	149	971
133	149	966
134	150	961
135	150	957
136	151	952
137	151	947
138	152	943
139	152	939
140	153	934
141	153	929
142	154	924
143	154	921
144	155	917
145	156	913
146	156	909
147	157	904
148	157	900
149	158	896
150	158	892
151	159	889
152	159	885
153	160	881
154	160	877
155	161	873
156	162	870
157	162	866
158	163	863
159	163	859
160	164	855
161	165	858
162	166	856
163	167	853
164	168	850
165	168	847
166	169	844
167	170	842
168	170	839
169	171	837
170	172	834
171	172	831
172	173	828
173	174	826
174	174	823
175	175	820
176	175	817
177	176	814
178	176	811
179	177	808
180	178	805
181	178	802
182	179	799
183	179	796
184	180	793
185	180	790
186	181	788
187	181	785
188	182	782
189	182	779
190	183	776
191	183	773
192	184	770
193	184	767
194	185	765
195	185	762
196	186	759
197	186	757
198	187	754
199	188	752
200	188	749
201	189	747
202	189	744
203	190	742
204	190	739
205	191	737
206	191	734
207	192	731
208	192	729
209	193	726
210	193	724
211	194	722
212	194	719
213	195	717
214	195	714
215	196	712
216	196	709
217	197	707
218	197	705
219	198	703
220	198	700
221	199	698
222	199	695
223	200	693
224	200	691
225	201	688
226	201	686
227	202	684
228	202	682
229	203	679
230	203	677
231	204	675
232	204	673
233	205	671
234	205	669
235	206	666
236	206	664
237	206	662
238	207	660
239	207	658
240	208	656
241	208	653
242	209	651
243	209	649
244	210	647
245	210	645
246	211	643
247	211	641
248	212	640
249	212	638
250	213	636
251	213	634
252	214	632
253	214	630
254	215	628
255	215	626
256	216	625
257	216	623
258	217	621
259	217	619
260	218	617
261	218	615
262	219	613
263	219	612
264	220	610
265	220	608
266	220	606
267	221	604
268	221	602
269	222	601
270	222	599
271	223	598
272	223	596
273	224	594
274	224	592
275	225	591
276	225	589
277	226	587
278	226	586
279	227	584
280	227	582
281	228	581
282	228	579
283	229	577
284	229	576
285	230	574
286	230	573
287	231	571
288	231	569
289	232	568
290	232	566
291	233	565
292	233	563
293	234	562
294	234	560
295	235	559
296	235	557
297	236	556
298	236	554
299	237	553
300	237	551
301	237	550
302	238	548
303	238	546
304	239	545
305	239	543
306	240	542
307	240	540
308	241	539
309	241	538
310	242	536
311	242	534
312	243	533
313	243	532
314	243	530
315	244	529
316	244	527
317	245	526
318	245	524
319	246	523
320	246	521
321	247	520
322	247	519
323	248	517
324	248	516
325	249	515
326	249	513
327	250	512
328	250	511
329	251	510
330	251	509
331	252	508
332	253	506
333	253	505
334	254	504
335	254	503
336	255	502
337	255	501
338	256	500
339	257	498
340	257	497
341	258	496
342	258	495
343	259	494
344	259	493
345	260	491
346	260	490
347	261	489
348	261	488
349	262	486
350	262	485
351	263	484
352	263	483
353	264	481
354	264	480
355	265	479
356	265	478
357	266	477
358	266	475
359	267	474
360	267	473
361	267	472
362	268	471
363	269	470
364	269	469
365	270	467
366	270	466
367	271	465
368	271	464
369	272	463
370	272	462
371	273	461
372	273	459
373	274	458
374	274	457
375	274	456
376	275	455
377	275	453
378	276	452
379	276	451
380	277	450
381	277	449
382	278	448
383	278	447
384	279	446
385	279	444
386	280	443
387	280	442
388	281	441
389	281	440
390	282	439
391	282	438
392	283	437
393	283	436
394	284	435
395	284	434
396	285	433
397	285	431
398	286	430
399	286	429
400	287	428
401	287	427
402	287	426
403	288	425
404	288	424
405	289	423
406	289	422
407	290	421
408	291	420
409	291	419
410	291	418
411	292	417
412	292	416
413	293	415
414	293	414
415	294	413
416	294	412
417	295	411
418	295	410
419	296	409
420	296	408
421	297	407
422	297	406
423	298	405
424	298	404
425	299	403
426	300	402
427	300	401
428	301	400
429	301	399
430	302	398
431	302	397
432	303	396
433	303	396
434	304	395
435	304	394
436	305	393
437	305	392
438	306	391
439	306	390
440	307	389
441	308	388
442	308	387
443	309	387
444	309	386
445	310	385
446	310	384
447	311	383
448	311	382
449	312	382
450	313	381
451	313	380
452	314	379
453	314	378
454	315	377
455	316	377
456	316	376
457	317	375
458	317	374
459	317	373
460	318	372
461	318	371
462	319	370
463	319	369
464	320	368
465	320	367
466	321	366
467	321	365
468	322	364
469	322	363
470	323	363
471	323	362
472	324	361
473	324	360
474	325	359
475	325	358
476	325	357
477	326	356
478	326	355
479	327	354
480	327	353
481	328	352
482	328	352
483	329	351
484	329	350
485	330	349
486	330	348
487	331	347
488	331	346
489	332	345
490	332	344
491	333	344
492	333	343
493	334	342
494	334	341
495	335	340
496	335	339
497	336	338
498	336	337
499	337	337
500	337	336
501	338	335
502	338	334
503	339	333
504	339	332
505	340	332
506	340	331
507	340	330
508	341	329
509	341	328
510	342	327
511	343	326
512	343	326
513	344	325
514	344	324
515	345	323
516	345	322
517	346	322
518	346	321
519	347	320
520	347	319
521	348	318
522	348	318
523	349	317
524	349	316
525	350	315
526	350	314
527	351	314
528	351	313
529	352	312
530	352	311
531	353	310
532	353	309
533	354	309
534	354	308
535	355	307
536	355	306
537	356	306
538	356	305
539	357	304
540	358	303
541	358	303
542	359	302
543	359	301
544	360	300
545	360	299
546	361	299
547	362	298
548	362	297
549	363	297
550	363	296
551	364	295
552	364	294
553	365	294
554	365	293
555	366	292
556	367	292
557	367	291
558	368	290
559	368	289
560	369	289
561	370	288
562	370	287
563	371	287
564	371	286
565	372	285
566	372	284
567	373	284
568	373	283
569	374	282
570	375	281
571	375	281
572	376	280
573	376	279
574	377	278
575	377	277
576	378	277
577	378	276
578	379	275
579	379	274
580	380	274
581	380	273
582	381	272
583	381	271
584	382	271
585	382	270
586	383	269
587	384	269
588	384	268
589	385	267
590	385	267
591	386	266
592	386	265
593	387	264
594	388	264
595	388	263
596	389	262
597	389	262
598	390	261
599	391	260
600	391	260
601	392	259
602	393	258
603	394	258
604	394	257
605	395	256
606	395	256
607	396	255
608	397	254
609	397	254
610	398	253
611	398	252
612	399	251
613	399	251
614	399	250
615	400	249
616	400	248
617	401	248
618	401	247
619	402	246
620	403	246
621	403	245
622	404	244
623	404	243
624	405	243
625	406	242
626	406	241
627	407	241
628	407	240
629	408	239
630	408	239
631	409	238
632	409	237
633	410	236
634	411	236
635	411	235
636	412	234
637	412	234
638	413	233
639	413	232
640	414	232
641	415	231
642	415	230
643	416	230
644	417	229
645	417	229
646	418	228
647	419	227
648	420	227
649	420	226
650	421	225
651	421	225
652	422	224
653	422	223
654	423	223
655	424	222
656	424	221
657	425	221
658	426	220
659	426	219
660	427	219
661	428	218
662	428	217
663	429	217
664	430	216
665	430	215
666	431	215
667	431	214
668	432	213
669	432	213
670	433	212
671	433	211
672	434	211
673	435	210
674	435	209
675	436	209
676	436	208
677	437	207
678	438	207
679	438	206
680	439	205
681	440	205
682	440	204
683	441	203
684	441	203
685	442	202
686	443	201
687	443	201
688	444	200
689	444	199
690	445	199
691	445	198
692	446	197
693	447	197
694	447	196
695	448	195
696	448	195
697	449	194
698	450	193
699	450	193
700	451	192
701	451	191
702	452	191
703	453	190
704	454	189
705	454	189
706	455	188
707	455	188
708	456	187
709	457	186
710	457	186
711	458	185
712	459	184
713	459	184
714	460	183
715	460	182
716	461	182
717	462	181
718	462	180
719	463	180
720	463	179
721	464	178
722	465	178
723	465	177
724	466	176
725	466	176
726	467	175
727	468	174
728	468	174
729	469	173
730	470	172
731	470	172
732	471	171
733	472	171
734	472	170
735	473	169
736	473	169
737	474	168
738	475	167
739	475	167
740	476	166
741	477	165
742	477	165
743	478	164
744	478	163
745	479	163
746	480	162
747	480	161
748	481	161
749	482	160
750	482	160
751	483	159
752	484	158
753	484	158
754	485	157
755	486	156
756	486	156
757	487	155
758	487	154
759	488	154
760	489	153
761	489	152
762	490	152
763	491	151
764	491	151
765	492	150
766	493	149
767	494	149
768	494	148
769	495	147
770	496	147
771	496	146
772	497	146
773	497	145
774	498	144
775	499	144
776	500	143
777	500	142
778	501	142
779	501	141
780	502	140
781	502	140
782	503	139
783	504	138
784	504	138
785	505	137
786	506	136
787	506	136
788	507	135
789	508	135
790	508	134
791	509	133
792	510	133
793	510	132
794	511	131
795	512	131
796	513	130
797	513	130
798	514	129
799	515	128
800	515	128
801	516	127
802	516	126
803	517	126
804	518	125
805	518	124
806	519	124
807	520	123
808	521	123
809	521	122
810	522	121
811	523	121
812	524	120
813	524	119
814	525	119
815	526	118
816	526	118
817	527	117
818	528	116
819	528	116
820	529	115
821	530	114
822	530	114
823	531	113
824	532	112
825	532	112
826	533	111
827	534	111
828	535	110
829	535	109
830	536	109
831	536	108
832	537	107
833	538	107
834	538	106
835	539	105
836	540	105
837	540	104
838	541	103
839	542	103
840	542	102
841	543	101
842	544	101
843	544	100
844	545	100
845	546	99
846	546	98
847	547	98
848	547	97
849	548	96
850	549	96
851	549	95
852	550	94
853	551	94
854	551	93
855	552	92
856	553	92
857	554	91
858	555	91
859	556	90
860	556	89
861	557	89
862	558	88
863	558	87
864	559	87
865	559	86
866	560	86
867	561	85
868	561	84
869	562	84
870	563	83
871	564	82
872	565	82
873	565	81
874	566	80
875	567	80
876	567	79
877	568	78
878	568	78
879	569	77
880	570	77
881	570	76
882	571	75
883	572	75
884	572	74
885	573	73
886	573	73
887	574	72
888	575	71
889	575	71
890	576	70
891	576	69
892	577	69
893	578	68
894	578	67
895	579	67
896	580	66
897	581	66
898	581	65
899	582	64
900	583	64
901	583	63
902	584	62
903	585	62
904	585	61
905	586	60
906	587	60
907	587	59
908	588	58
909	589	58
910	589	57
911	590	56
912	591	56
913	592	55
914	592	55
915	593	54
916	594	53
917	595	53
918	595	52
919	596	51
